server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,20:59:40,21:00:10,60.73,48.15,
server_1,20:59:50,21:00:20,68.46,45.2,
server_1,21:00:00,21:00:30,73.36,52.26,
server_1,21:00:10,21:00:40,57.17,46.62,
server_1,21:00:20,21:00:50,61.7,64.38,
server_1,21:00:30,21:01:00,44.05,45.89,
server_1,21:00:40,21:01:10,43.55,45.94,
server_1,21:00:50,21:01:20,38.82,29.93,
server_1,21:01:00,21:01:30,50.98,41.18,
server_1,21:01:10,21:01:40,54.31,39.66,
server_1,21:01:20,21:01:50,44.21,51.97,
server_1,21:01:30,21:02:00,42.08,56.92,
server_1,21:01:40,21:02:10,48.15,54.64,
server_1,21:01:50,21:02:20,47.41,53.0,
server_1,21:02:00,21:02:30,45.99,58.04,
server_1,21:02:10,21:02:40,44.61,67.12,
server_1,21:02:20,21:02:50,44.64,59.94,
server_1,21:02:30,21:03:00,58.8,53.18,
server_1,21:02:40,21:03:10,60.77,44.98,
server_1,21:02:50,21:03:20,72.2,44.59,
server_1,21:03:00,21:03:30,49.35,36.08,
server_1,21:03:10,21:03:40,50.45,45.19,
server_1,21:03:20,21:03:50,49.66,49.49,
server_1,21:03:30,21:04:00,56.13,55.1,
server_1,21:03:40,21:04:10,46.82,56.35,
server_1,21:03:50,21:04:20,56.09,71.55,
server_1,21:04:00,21:04:30,57.59,72.87,
server_1,21:04:10,21:04:40,55.7,76.19,
server_1,21:04:20,21:04:50,42.87,60.55,
server_1,21:04:30,21:05:00,43.87,58.91,
server_1,21:04:40,21:05:10,54.73,42.57,
server_1,21:04:50,21:05:20,66.21,32.88,
server_1,21:05:00,21:05:30,61.15,32.51,
server_1,21:05:10,21:05:40,63.72,49.02,
server_1,21:05:20,21:05:50,49.44,69.56,
server_1,21:05:30,21:06:00,56.34,68.87,
server_1,21:05:40,21:06:10,47.07,58.28,
server_1,21:05:50,21:06:20,47.21,43.87,
server_1,21:06:00,21:06:30,46.8,44.93,
server_1,21:06:10,21:06:40,50.59,42.29,
server_1,21:06:20,21:06:50,49.79,42.8,
server_1,21:06:30,21:07:00,62.3,31.28,
server_1,21:06:40,21:07:10,60.01,34.31,
server_1,21:06:50,21:07:20,60.21,37.46,
server_1,21:07:00,21:07:30,47.87,51.42,
server_1,21:07:10,21:07:40,52.07,45.32,
server_1,21:07:20,21:07:50,48.72,36.21,
server_1,21:07:30,21:08:00,43.0,41.31,
server_1,21:07:40,21:08:10,36.62,57.26,
server_1,21:07:50,21:08:20,39.4,64.59,
server_1,21:08:00,21:08:30,40.37,60.28,
server_1,21:08:10,21:08:40,45.27,55.35,
server_1,21:08:20,21:08:50,48.27,56.81,
server_1,21:08:30,21:09:00,59.32,52.43,
server_1,21:08:40,21:09:10,55.43,61.57,
server_1,21:08:50,21:09:20,64.2,55.25,
server_1,21:09:00,21:09:30,60.56,48.25,
server_1,21:09:10,21:09:40,67.24,35.99,
server_1,21:09:20,21:09:50,55.25,51.72,
server_1,21:09:30,21:10:00,56.37,67.3,
server_1,21:09:40,21:10:10,53.92,80.79,Memory saturation suspected
server_1,21:09:50,21:10:20,62.88,75.6,
server_1,21:10:00,21:10:30,62.41,71.82,
server_1,21:10:10,21:10:40,69.14,63.14,
server_1,21:10:20,21:10:50,65.22,59.91,
server_1,21:10:30,21:11:00,64.66,51.34,
server_1,21:10:40,21:11:10,48.69,40.99,
server_1,21:10:50,21:11:20,43.87,46.75,
server_1,21:11:00,21:11:30,34.49,50.76,
server_1,21:11:10,21:11:40,30.25,58.36,
server_1,21:11:20,21:11:50,31.93,54.06,
server_1,21:11:30,21:12:00,47.55,53.48,
server_1,21:11:40,21:12:10,47.62,56.64,
server_1,21:11:50,21:12:20,56.14,53.32,
server_1,21:12:00,21:12:30,38.36,49.34,
server_1,21:12:10,21:12:40,53.57,38.08,
server_1,21:12:20,21:12:50,50.7,42.91,
server_1,21:12:30,21:13:00,53.95,40.95,
server_1,21:12:40,21:13:10,54.07,48.16,
server_1,21:12:50,21:13:20,50.8,46.62,
server_1,21:13:00,21:13:30,58.86,45.83,
server_1,21:13:10,21:13:40,50.47,36.55,
server_1,21:13:20,21:13:50,46.82,34.48,
server_1,21:13:30,21:14:00,50.09,50.86,
server_1,21:13:40,21:14:10,56.99,71.4,
server_1,21:13:50,21:14:20,55.2,64.35,
server_1,21:14:00,21:14:30,58.1,67.49,
server_1,21:14:10,21:14:40,55.68,53.5,
server_1,21:14:20,21:14:50,58.26,67.89,
server_1,21:14:30,21:15:00,57.73,50.01,
server_1,21:14:40,21:15:10,54.31,45.06,
server_1,21:14:50,21:15:20,62.61,27.69,
server_1,21:15:00,21:15:30,52.69,39.48,
server_1,21:15:10,21:15:40,57.23,35.21,
server_1,21:15:20,21:15:50,44.76,50.44,
server_1,21:15:30,21:16:00,41.68,39.85,
server_1,21:15:40,21:16:10,40.06,49.65,
server_1,21:15:50,21:16:20,53.04,45.44,
server_1,21:16:00,21:16:30,63.71,49.67,
server_1,21:16:10,21:16:40,65.21,47.5,
server_1,21:16:20,21:16:50,68.11,51.93,
server_1,21:16:30,21:17:00,49.61,55.71,
server_1,21:16:40,21:17:10,43.66,55.08,
server_1,21:16:50,21:17:20,36.63,51.88,
server_1,21:17:00,21:17:30,48.86,62.72,
server_1,21:17:10,21:17:40,53.09,70.17,
server_1,21:17:20,21:17:50,49.09,77.03,
server_1,21:17:30,21:18:00,55.73,69.59,
server_1,21:17:40,21:18:10,65.62,64.57,
server_1,21:17:50,21:18:20,79.73,61.56,
server_1,21:18:00,21:18:30,75.05,51.41,
server_1,21:18:10,21:18:40,69.57,49.06,
server_1,21:18:20,21:18:50,53.27,40.77,
server_1,21:18:30,21:19:00,45.34,42.39,
server_1,21:18:40,21:19:10,45.01,48.19,
server_1,21:18:50,21:19:20,45.06,48.33,
server_1,21:19:00,21:19:30,51.88,53.77,
server_1,21:19:10,21:19:40,46.6,45.67,
server_1,21:19:20,21:19:50,48.16,42.12,
server_1,21:19:30,21:20:00,48.65,42.54,
server_1,21:19:40,21:20:10,53.99,50.49,
server_1,21:19:50,21:20:20,58.58,69.66,
server_1,21:20:00,21:20:30,61.62,71.49,
server_1,21:20:10,21:20:40,55.93,63.07,
server_1,21:20:20,21:20:50,62.78,42.24,
server_1,21:20:30,21:21:00,48.4,30.15,
server_1,21:20:40,21:21:10,59.87,24.28,
server_1,21:20:50,21:21:20,58.21,39.21,
server_1,21:21:00,21:21:30,69.93,51.2,
server_1,21:21:10,21:21:40,52.88,65.83,
server_1,21:21:20,21:21:50,45.93,52.98,
server_1,21:21:30,21:22:00,42.77,49.44,
server_1,21:21:40,21:22:10,41.83,54.49,
server_1,21:21:50,21:22:20,42.1,63.17,
server_1,21:22:00,21:22:30,38.7,58.27,
server_1,21:22:10,21:22:40,47.87,63.52,
server_1,21:22:20,21:22:50,36.41,62.83,
server_1,21:22:30,21:23:00,34.93,60.48,
server_1,21:22:40,21:23:10,42.99,55.59,
server_1,21:22:50,21:23:20,56.22,53.43,
server_1,21:23:00,21:23:30,76.64,73.87,
server_1,21:23:10,21:23:40,78.15,60.61,
server_1,21:23:20,21:23:50,87.28,48.68,CPU spike suspected
server_1,21:23:30,21:24:00,78.35,30.32,
server_1,21:23:40,21:24:10,59.81,29.05,
server_1,21:23:50,21:24:20,55.77,34.83,
server_1,21:24:00,21:24:30,50.12,39.56,
server_1,21:24:10,21:24:40,64.34,53.64,
server_1,21:24:20,21:24:50,59.3,57.4,
server_1,21:24:30,21:25:00,66.44,63.03,
server_1,21:24:40,21:25:10,61.76,50.97,
server_1,21:24:50,21:25:20,71.88,51.29,
server_1,21:25:00,21:25:30,56.44,48.23,
server_1,21:25:10,21:25:40,63.77,53.0,
server_1,21:25:20,21:25:50,49.88,51.47,
server_1,21:25:30,21:26:00,64.37,53.78,
server_1,21:25:40,21:26:10,55.62,48.31,
server_1,21:25:50,21:26:20,58.56,51.09,
server_1,21:26:00,21:26:30,56.83,52.62,
server_1,21:26:10,21:26:40,63.34,57.49,
server_1,21:26:20,21:26:50,66.48,60.52,
server_1,21:26:30,21:27:00,62.27,51.45,
server_1,21:26:40,21:27:10,58.53,42.89,
server_1,21:26:50,21:27:20,50.61,39.41,
server_1,21:27:00,21:27:30,41.66,33.88,
server_1,21:27:10,21:27:40,39.71,49.46,
server_1,21:27:20,21:27:50,43.13,46.94,
server_1,21:27:30,21:28:00,52.5,57.49,
server_1,21:27:40,21:28:10,58.01,55.04,
server_1,21:27:50,21:28:20,64.03,52.35,
server_1,21:28:00,21:28:30,67.0,48.02,
server_1,21:28:10,21:28:40,70.12,43.61,
server_1,21:28:20,21:28:50,66.96,50.0,
server_1,21:28:30,21:29:00,66.29,56.65,
server_1,21:28:40,21:29:10,49.68,62.07,
server_1,21:28:50,21:29:20,43.43,58.7,
server_1,21:29:00,21:29:30,32.26,49.65,
server_1,21:29:10,21:29:40,32.75,41.44,
server_1,21:29:20,21:29:50,30.53,50.31,
server_1,21:29:30,21:30:00,39.15,54.34,
server_1,21:29:40,21:30:10,48.86,58.44,
server_1,21:29:50,21:30:20,50.89,51.56,
server_1,21:30:00,21:30:30,46.01,57.61,
server_1,21:30:10,21:30:40,40.33,53.79,
server_1,21:30:20,21:30:50,42.69,52.3,
server_1,21:30:30,21:31:00,50.94,38.98,
server_1,21:30:40,21:31:10,51.03,35.9,
server_1,21:30:50,21:31:20,58.69,34.09,
server_1,21:31:00,21:31:30,55.8,45.04,
server_1,21:31:10,21:31:40,52.68,57.37,
server_1,21:31:20,21:31:50,43.5,60.8,
server_1,21:31:30,21:32:00,34.82,48.58,
server_1,21:31:40,21:32:10,32.31,50.7,
server_1,21:31:50,21:32:20,30.39,44.84,
server_1,21:32:00,21:32:30,33.38,50.76,
server_1,21:32:10,21:32:40,45.59,53.43,
server_1,21:32:20,21:32:50,50.94,59.88,
server_1,21:32:30,21:33:00,62.2,59.45,
server_1,21:32:40,21:33:10,64.5,52.09,
server_1,21:32:50,21:33:20,66.94,54.52,
server_1,21:33:00,21:33:30,67.76,70.13,
server_1,21:33:10,21:33:40,58.36,61.88,
server_1,21:33:20,21:33:50,65.74,71.6,
server_1,21:33:30,21:34:00,64.01,66.18,
server_1,21:33:40,21:34:10,63.32,63.66,
server_1,21:33:50,21:34:20,46.61,62.52,
server_1,21:34:00,21:34:30,37.19,62.18,
server_1,21:34:10,21:34:40,31.34,70.18,
server_1,21:34:20,21:34:50,44.72,67.34,
server_1,21:34:30,21:35:00,47.13,59.1,
server_1,21:34:40,21:35:10,59.4,50.91,
server_1,21:34:50,21:35:20,53.65,58.1,
server_1,21:35:00,21:35:30,53.6,57.02,
server_1,21:35:10,21:35:40,51.32,64.84,
server_1,21:35:20,21:35:50,49.98,50.68,
server_1,21:35:30,21:36:00,42.61,58.81,
server_1,21:35:40,21:36:10,42.38,56.78,
server_1,21:35:50,21:36:20,44.84,46.11,
server_1,21:36:00,21:36:30,57.77,54.21,
server_1,21:36:10,21:36:40,66.85,64.22,
server_1,21:36:20,21:36:50,59.82,66.59,
server_1,21:36:30,21:37:00,49.16,43.87,
server_1,21:36:40,21:37:10,44.3,40.69,
server_1,21:36:50,21:37:20,56.47,53.74,
server_1,21:37:00,21:37:30,66.32,66.33,
server_1,21:37:10,21:37:40,61.23,60.94,
server_1,21:37:20,21:37:50,49.41,53.4,
server_1,21:37:30,21:38:00,51.24,52.99,
server_1,21:37:40,21:38:10,55.39,56.55,
server_1,21:37:50,21:38:20,54.78,64.79,
server_1,21:38:00,21:38:30,39.2,66.75,
server_1,21:38:10,21:38:40,40.79,63.06,
server_1,21:38:20,21:38:50,47.51,52.04,
server_1,21:38:30,21:39:00,62.81,49.89,
server_1,21:38:40,21:39:10,51.0,54.58,
server_1,21:38:50,21:39:20,44.61,64.8,
server_1,21:39:00,21:39:30,48.25,58.67,
server_1,21:39:10,21:39:40,62.61,45.73,
server_1,21:39:20,21:39:50,67.13,36.98,
server_1,21:39:30,21:40:00,48.9,46.71,
server_1,21:39:40,21:40:10,40.58,59.91,
server_1,21:39:50,21:40:20,36.54,61.1,
server_1,21:40:00,21:40:30,50.04,51.16,
server_1,21:40:10,21:40:40,48.83,46.52,
server_1,21:40:20,21:40:50,41.82,61.46,
server_1,21:40:30,21:41:00,35.16,60.47,
server_1,21:40:40,21:41:10,44.1,66.59,
server_1,21:40:50,21:41:20,54.73,54.58,
server_1,21:41:00,21:41:30,54.94,57.26,
server_1,21:41:10,21:41:40,52.48,49.89,
server_1,21:41:20,21:41:50,44.46,39.03,
server_1,21:41:30,21:42:00,52.03,48.08,
server_1,21:41:40,21:42:10,46.77,45.82,
server_1,21:41:50,21:42:20,50.77,52.12,
server_1,21:42:00,21:42:30,47.36,45.31,
server_1,21:42:10,21:42:40,40.55,43.43,
server_1,21:42:20,21:42:50,52.69,38.6,
server_1,21:42:30,21:43:00,56.32,32.91,
server_1,21:42:40,21:43:10,59.08,42.81,
server_1,21:42:50,21:43:20,43.46,42.25,
server_1,21:43:00,21:43:30,36.42,52.4,
server_1,21:43:10,21:43:40,42.18,46.04,
server_1,21:43:20,21:43:50,57.84,48.52,
server_1,21:43:30,21:44:00,59.17,41.03,
server_1,21:43:40,21:44:10,51.86,38.19,
server_1,21:43:50,21:44:20,53.54,38.74,
server_1,21:44:00,21:44:30,52.94,43.98,
server_1,21:44:10,21:44:40,66.13,40.63,
server_1,21:44:20,21:44:50,63.54,43.53,
server_1,21:44:30,21:45:00,66.77,38.74,
server_1,21:44:40,21:45:10,69.18,54.15,
server_1,21:44:50,21:45:20,68.63,53.47,
server_1,21:45:00,21:45:30,80.83,69.89,
server_1,21:45:10,21:45:40,74.31,74.91,
server_1,21:45:20,21:45:50,75.14,65.77,
server_1,21:45:30,21:46:00,57.36,53.73,
server_1,21:45:40,21:46:10,59.48,41.99,
server_1,21:45:50,21:46:20,56.79,58.16,
server_1,21:46:00,21:46:30,57.52,57.01,
server_1,21:46:10,21:46:40,49.83,60.84,
server_1,21:46:20,21:46:50,49.2,48.51,
server_1,21:46:30,21:47:00,45.48,53.18,
server_1,21:46:40,21:47:10,52.11,50.28,
server_1,21:46:50,21:47:20,36.39,71.69,
server_1,21:47:00,21:47:30,38.21,66.93,
server_1,21:47:10,21:47:40,28.49,72.63,
server_1,21:47:20,21:47:50,49.66,53.69,
server_1,21:47:30,21:48:00,54.39,52.72,
server_1,21:47:40,21:48:10,65.37,40.75,
server_1,21:47:50,21:48:20,61.59,41.07,
server_1,21:48:00,21:48:30,63.47,46.04,
server_1,21:48:10,21:48:40,60.48,42.53,
server_1,21:48:20,21:48:50,50.03,54.27,
server_1,21:48:30,21:49:00,55.1,56.77,
server_1,21:48:40,21:49:10,66.32,65.02,
server_1,21:48:50,21:49:20,73.33,51.2,
server_1,21:49:00,21:49:30,72.69,52.3,
server_1,21:49:10,21:49:40,55.24,50.39,
server_1,21:49:20,21:49:50,52.15,57.23,
server_1,21:49:30,21:50:00,51.18,46.49,
server_1,21:49:40,21:50:10,47.81,43.57,
server_1,21:49:50,21:50:20,47.85,44.16,
server_1,21:50:00,21:50:30,43.6,35.02,
server_1,21:50:10,21:50:40,45.27,33.01,
server_1,21:50:20,21:50:50,47.72,33.85,
server_1,21:50:30,21:51:00,35.94,45.49,
server_1,21:50:40,21:51:10,49.99,62.45,
server_1,21:50:50,21:51:20,54.79,52.86,
server_1,21:51:00,21:51:30,56.08,56.59,
server_1,21:51:10,21:51:40,56.03,47.03,
server_1,21:51:20,21:51:50,50.71,54.26,
server_1,21:51:30,21:52:00,52.0,44.18,
server_1,21:51:40,21:52:10,44.72,43.49,
server_1,21:51:50,21:52:20,43.01,46.9,
server_1,21:52:00,21:52:30,54.6,57.79,
server_1,21:52:10,21:52:40,50.32,56.16,
server_1,21:52:20,21:52:50,55.98,58.67,
server_1,21:52:30,21:53:00,51.78,53.91,
server_1,21:52:40,21:53:10,48.64,54.15,
server_1,21:52:50,21:53:20,49.92,42.98,
server_1,21:53:00,21:53:30,54.9,36.2,
server_1,21:53:10,21:53:40,59.85,50.51,
server_1,21:53:20,21:53:50,58.55,49.25,
server_1,21:53:30,21:54:00,60.3,63.83,
server_1,21:53:40,21:54:10,63.37,50.22,
server_1,21:53:50,21:54:20,59.81,64.52,
server_1,21:54:00,21:54:30,58.97,59.85,
server_1,21:54:10,21:54:40,61.29,66.47,
server_1,21:54:20,21:54:50,61.26,62.9,
server_1,21:54:30,21:55:00,58.07,64.42,
server_1,21:54:40,21:55:10,61.0,61.6,
server_1,21:54:50,21:55:20,75.56,62.61,
server_1,21:55:00,21:55:30,64.24,52.91,
server_1,21:55:10,21:55:40,54.9,50.14,
server_1,21:55:20,21:55:50,46.58,55.0,
server_1,21:55:30,21:56:00,58.99,61.32,
server_1,21:55:40,21:56:10,58.54,73.81,
server_1,21:55:50,21:56:20,58.38,73.49,
server_1,21:56:00,21:56:30,47.43,75.75,
server_1,21:56:10,21:56:40,56.16,67.48,
server_1,21:56:20,21:56:50,60.12,64.96,
server_1,21:56:30,21:57:00,71.98,56.7,
server_1,21:56:40,21:57:10,71.07,46.45,
server_1,21:56:50,21:57:20,51.6,41.18,
server_1,21:57:00,21:57:30,50.42,36.83,
server_1,21:57:10,21:57:40,44.07,42.43,
server_1,21:57:20,21:57:50,54.2,43.01,
server_1,21:57:30,21:58:00,42.46,58.83,
server_1,21:57:40,21:58:10,37.75,66.27,
server_1,21:57:50,21:58:20,37.36,71.47,
server_1,21:58:00,21:58:30,49.42,54.62,
server_1,21:58:10,21:58:40,58.33,52.3,
server_1,21:58:20,21:58:50,55.82,43.65,
server_1,21:58:30,21:59:00,43.38,57.46,
server_1,21:58:40,21:59:10,44.97,43.23,
server_1,21:58:50,21:59:20,49.92,40.7,
server_1,21:59:00,21:59:30,61.62,37.76,
server_1,21:59:10,21:59:40,61.23,49.68,
server_1,21:59:20,21:59:50,55.84,65.48,
server_1,21:59:30,22:00:00,54.14,64.53,
server_1,21:59:40,22:00:10,54.87,62.53,
server_1,21:59:50,22:00:20,53.24,63.03,
server_1,22:00:00,22:00:30,49.89,64.76,
server_1,22:00:10,22:00:40,43.67,61.44,
server_1,22:00:20,22:00:50,46.89,51.8,
server_1,22:00:30,22:01:00,44.02,61.04,
server_1,22:00:40,22:01:10,57.85,49.91,
server_1,22:00:50,22:01:20,64.45,57.24,
server_1,22:01:00,22:01:30,73.63,39.82,
server_1,22:01:10,22:01:40,55.85,57.64,
server_1,22:01:20,22:01:50,48.29,49.99,
server_1,22:01:30,22:02:00,49.75,62.11,
server_1,22:01:40,22:02:10,52.21,56.21,
server_1,22:01:50,22:02:20,58.11,59.84,
server_1,22:02:00,22:02:30,60.79,53.28,
server_1,22:02:10,22:02:40,70.79,49.58,
server_1,22:02:20,22:02:50,71.55,49.78,
server_1,22:02:30,22:03:00,62.92,44.97,
server_1,22:02:40,22:03:10,53.58,44.43,
server_1,22:02:50,22:03:20,60.36,54.1,
server_1,22:03:00,22:03:30,59.41,58.78,
server_1,22:03:10,22:03:40,62.74,57.9,
server_1,22:03:20,22:03:50,53.34,44.55,
server_1,22:03:30,22:04:00,56.2,52.24,
server_1,22:03:40,22:04:10,54.09,55.73,
server_1,22:03:50,22:04:20,59.16,52.36,
server_1,22:04:00,22:04:30,47.38,59.77,
server_1,22:04:10,22:04:40,43.78,63.0,
server_1,22:04:20,22:04:50,38.38,75.14,
server_1,22:04:30,22:05:00,52.51,63.34,
server_1,22:04:40,22:05:10,62.22,56.16,
server_1,22:04:50,22:05:20,55.19,54.22,
server_1,22:05:00,22:05:30,45.28,43.2,
server_1,22:05:10,22:05:40,38.81,46.57,
server_1,22:05:20,22:05:50,34.23,48.85,
server_1,22:05:30,22:06:00,33.44,51.21,
server_1,22:05:40,22:06:10,44.54,51.15,
server_1,22:05:50,22:06:20,62.81,39.28,
server_1,22:06:00,22:06:30,74.15,47.84,
server_1,22:06:10,22:06:40,66.58,55.65,
server_1,22:06:20,22:06:50,52.38,57.49,
server_1,22:06:30,22:07:00,49.69,52.75,
server_1,22:06:40,22:07:10,41.96,54.22,
server_1,22:06:50,22:07:20,50.15,53.3,
server_1,22:07:00,22:07:30,48.59,58.66,
server_1,22:07:10,22:07:40,59.71,45.49,
server_1,22:07:20,22:07:50,66.27,40.47,
server_1,22:07:30,22:08:00,60.58,45.99,
server_1,22:07:40,22:08:10,57.81,53.43,
server_1,22:07:50,22:08:20,56.37,68.81,
server_1,22:08:00,22:08:30,63.2,56.38,
server_1,22:08:10,22:08:40,55.9,51.48,
server_1,22:08:20,22:08:50,50.37,44.29,
server_1,22:08:30,22:09:00,53.5,49.5,
server_1,22:08:40,22:09:10,57.85,61.47,
server_1,22:08:50,22:09:20,55.33,58.35,
server_1,22:09:00,22:09:30,52.0,61.34,
server_1,22:09:10,22:09:40,58.16,61.07,
server_1,22:09:20,22:09:50,57.66,72.0,
server_1,22:09:30,22:10:00,67.12,75.0,
server_1,22:09:40,22:10:10,55.22,79.06,Memory saturation suspected
server_1,22:09:50,22:10:20,62.6,75.6,
server_1,22:10:00,22:10:30,49.73,68.62,
server_1,22:10:10,22:10:40,55.07,56.4,
server_1,22:10:20,22:10:50,37.62,53.01,
server_1,22:10:30,22:11:00,47.52,46.9,
server_1,22:10:40,22:11:10,41.27,41.14,
server_1,22:10:50,22:11:20,53.04,39.93,
server_1,22:11:00,22:11:30,45.0,43.18,
server_1,22:11:10,22:11:40,56.24,47.1,
server_1,22:11:20,22:11:50,63.15,53.0,
server_1,22:11:30,22:12:00,60.34,57.45,
server_1,22:11:40,22:12:10,53.12,59.79,
server_1,22:11:50,22:12:20,38.27,48.44,
server_1,22:12:00,22:12:30,46.28,38.45,
server_1,22:12:10,22:12:40,61.85,38.6,
server_1,22:12:20,22:12:50,67.68,36.69,
server_1,22:12:30,22:13:00,53.91,48.65,
server_1,22:12:40,22:13:10,46.14,55.15,
server_1,22:12:50,22:13:20,48.5,65.36,
server_1,22:13:00,22:13:30,61.62,65.27,
server_1,22:13:10,22:13:40,64.93,56.65,
server_1,22:13:20,22:13:50,64.34,51.59,
server_1,22:13:30,22:14:00,64.19,52.29,
server_1,22:13:40,22:14:10,59.66,48.42,
server_1,22:13:50,22:14:20,50.2,51.67,
server_1,22:14:00,22:14:30,37.69,54.17,
server_1,22:14:10,22:14:40,35.75,61.32,
server_1,22:14:20,22:14:50,37.69,63.18,
server_1,22:14:30,22:15:00,54.91,53.47,
server_1,22:14:40,22:15:10,59.86,52.61,
server_1,22:14:50,22:15:20,65.63,53.73,
server_1,22:15:00,22:15:30,48.93,59.58,
server_1,22:15:10,22:15:40,49.44,65.9,
server_1,22:15:20,22:15:50,53.91,63.51,
server_1,22:15:30,22:16:00,59.98,59.82,
server_1,22:15:40,22:16:10,49.15,46.99,
server_1,22:15:50,22:16:20,42.62,44.21,
server_1,22:16:00,22:16:30,50.47,49.16,
server_1,22:16:10,22:16:40,48.95,51.57,
server_1,22:16:20,22:16:50,55.37,52.5,
server_1,22:16:30,22:17:00,52.4,39.66,
server_1,22:16:40,22:17:10,54.75,43.47,
server_1,22:16:50,22:17:20,59.52,40.64,
server_1,22:17:00,22:17:30,63.09,54.13,
server_1,22:17:10,22:17:40,67.67,55.45,
server_1,22:17:20,22:17:50,59.47,61.94,
server_1,22:17:30,22:18:00,37.95,68.13,
server_1,22:17:40,22:18:10,42.32,73.16,
server_1,22:17:50,22:18:20,39.39,62.84,
server_1,22:18:00,22:18:30,58.43,57.23,
server_1,22:18:10,22:18:40,41.6,62.72,
server_1,22:18:20,22:18:50,46.31,67.3,
server_1,22:18:30,22:19:00,45.83,70.06,
server_1,22:18:40,22:19:10,57.76,58.03,
server_1,22:18:50,22:19:20,58.63,65.69,
server_1,22:19:00,22:19:30,61.46,63.04,
server_1,22:19:10,22:19:40,56.78,62.37,
server_1,22:19:20,22:19:50,60.25,62.21,
server_1,22:19:30,22:20:00,48.37,54.16,
server_1,22:19:40,22:20:10,54.07,52.86,
server_1,22:19:50,22:20:20,61.04,30.21,
server_1,22:20:00,22:20:30,67.21,27.44,
server_1,22:20:10,22:20:40,58.05,23.43,
server_1,22:20:20,22:20:50,39.43,36.96,
server_1,22:20:30,22:21:00,32.74,41.92,
server_1,22:20:40,22:21:10,37.28,49.52,
server_1,22:20:50,22:21:20,46.1,56.33,
server_1,22:21:00,22:21:30,49.66,55.11,
server_1,22:21:10,22:21:40,48.54,65.17,
server_1,22:21:20,22:21:50,49.17,60.49,
server_1,22:21:30,22:22:00,52.87,69.15,
server_1,22:21:40,22:22:10,60.29,54.29,
server_1,22:21:50,22:22:20,58.35,56.59,
server_1,22:22:00,22:22:30,54.19,48.31,
server_1,22:22:10,22:22:40,46.9,62.61,
server_1,22:22:20,22:22:50,38.32,64.74,
server_1,22:22:30,22:23:00,49.61,58.39,
server_1,22:22:40,22:23:10,61.61,40.62,
server_1,22:22:50,22:23:20,51.12,48.44,
server_1,22:23:00,22:23:30,26.64,70.05,
server_1,22:23:10,22:23:40,10.46,86.76,Memory saturation suspected
server_1,22:23:20,22:23:50,23.64,70.6,
server_1,22:23:30,22:24:00,33.49,54.72,
server_1,22:23:40,22:24:10,41.53,48.24,
server_1,22:23:50,22:24:20,50.99,55.18,
server_1,22:24:00,22:24:30,56.15,57.37,
server_1,22:24:10,22:24:40,58.71,54.92,
server_1,22:24:20,22:24:50,51.54,47.19,
server_1,22:24:30,22:25:00,51.93,42.81,
