server_id,window_start,window_end,max_net_in,max_disk_io,alert
server_5,22:33:50,22:34:20,4241.82,1574.53,Normal
server_13,22:36:50,22:37:20,19439.72,5997.0,Network flood + Disk thrash suspected
server_7,22:37:50,22:38:20,13708.8,9637.2,Network flood + Disk thrash suspected
server_4,22:37:50,22:38:20,18374.19,1310.74,Possible DDoS
server_3,22:39:50,22:40:20,17875.76,8156.25,Network flood + Disk thrash suspected
server_9,22:41:20,22:41:50,2555.05,7472.37,Normal
server_14,22:43:00,22:43:30,16491.71,121.21,Possible DDoS
server_3,22:45:40,22:46:10,7424.19,86.63,Possible DDoS
server_13,22:48:20,22:48:50,12802.46,6429.97,Network flood + Disk thrash suspected
server_15,20:52:20,20:52:50,5647.96,8360.21,Network flood + Disk thrash suspected
server_9,20:52:30,20:53:00,906.56,5355.9,Disk thrash suspected
server_12,20:53:00,20:53:30,6330.57,82.3,Possible DDoS
server_10,20:54:10,20:54:40,12112.64,95.69,Possible DDoS
server_12,20:55:50,20:56:20,9216.88,1717.22,Possible DDoS
server_17,20:56:30,20:57:00,13686.29,1689.77,Possible DDoS
server_11,20:58:50,20:59:20,834.13,112.95,Normal
server_14,21:00:00,21:00:30,18711.88,186.73,Possible DDoS
server_17,21:00:10,21:00:40,10592.48,5144.41,Network flood + Disk thrash suspected
server_6,21:01:30,21:02:00,893.0,103.32,Normal
server_17,21:02:30,21:03:00,3062.62,8378.61,Normal
server_1,21:04:00,21:04:30,3150.33,1390.79,Normal
server_11,21:04:50,21:05:20,17239.35,1053.61,Possible DDoS
server_6,21:07:10,21:07:40,898.64,136.32,Normal
server_18,21:09:30,21:10:00,4516.27,5230.13,Normal
server_17,21:09:40,21:10:10,12218.02,177.59,Possible DDoS
server_5,21:11:20,21:11:50,909.2,8944.78,Disk thrash suspected
server_1,21:14:20,21:14:50,960.91,139.86,Normal
server_11,21:14:30,21:15:00,17346.7,6572.98,Network flood + Disk thrash suspected
server_5,21:16:20,21:16:50,4871.35,1198.46,Normal
server_20,21:25:20,21:25:50,2838.73,521.17,Normal
server_9,21:26:40,21:27:10,12435.49,161.08,Possible DDoS
server_2,21:26:50,21:27:20,7167.96,138.81,Possible DDoS
server_9,21:27:50,21:28:20,3989.06,1556.93,Normal
server_2,21:28:00,21:28:30,4964.87,1511.79,Normal
server_1,21:28:20,21:28:50,19972.25,647.07,Possible DDoS
server_5,21:28:30,21:29:00,11475.45,5084.31,Network flood + Disk thrash suspected
server_11,21:28:50,21:29:20,667.1,159.02,Normal
server_2,21:29:40,21:30:10,10529.01,3484.92,Network flood + Disk thrash suspected
server_14,21:29:50,21:30:20,18446.87,528.17,Possible DDoS
server_7,21:31:00,21:31:30,910.85,5988.36,Disk thrash suspected
server_20,21:32:10,21:32:40,992.76,110.26,Normal
server_18,21:32:20,21:32:50,5378.94,1145.04,Normal
server_14,21:33:30,21:34:00,15727.99,179.85,Possible DDoS
server_1,21:33:50,21:34:20,18195.68,142.78,Possible DDoS
server_18,21:34:30,21:35:00,18755.4,881.15,Possible DDoS
server_19,21:34:50,21:35:20,980.39,6667.21,Disk thrash suspected
server_10,21:35:30,21:36:00,8319.15,155.98,Possible DDoS
server_12,21:36:20,21:36:50,12196.88,813.23,Possible DDoS
server_9,21:36:50,21:37:20,4190.58,6216.63,Normal
server_8,21:38:10,21:38:40,732.78,5621.64,Disk thrash suspected
server_4,21:38:10,21:38:40,5563.13,4739.83,Network flood + Disk thrash suspected
server_5,21:38:40,21:39:10,3031.64,1583.64,Normal
server_14,21:39:10,21:39:40,4725.31,1437.63,Normal
server_18,21:39:50,21:40:20,6282.02,1813.83,Network flood + Disk thrash suspected
server_10,21:41:40,21:42:10,816.97,6288.36,Disk thrash suspected
server_4,21:45:40,21:46:10,4088.87,6734.57,Normal
server_12,21:46:50,21:47:20,2087.28,599.29,Normal
server_8,21:47:50,21:48:20,19077.97,113.99,Possible DDoS
server_16,21:49:30,21:50:00,4876.09,5196.06,Normal
server_7,21:49:40,21:50:10,1225.04,824.8,Normal
server_7,21:51:10,21:51:40,3224.9,9984.02,Normal
server_19,21:54:30,21:55:00,553.43,9643.97,Disk thrash suspected
server_5,21:57:00,21:57:30,2962.01,4858.49,Normal
server_8,21:57:10,21:57:40,927.71,4053.52,Disk thrash suspected
server_18,21:57:20,21:57:50,1361.82,8493.7,Disk thrash suspected
server_14,21:58:30,21:59:00,3072.97,1462.99,Normal
server_17,21:59:40,22:00:10,11092.75,6433.46,Network flood + Disk thrash suspected
server_9,22:00:40,22:01:10,4753.3,9753.48,Normal
server_7,22:00:50,22:01:20,15716.38,4482.33,Network flood + Disk thrash suspected
server_3,22:01:30,22:02:00,1010.83,111.82,Normal
server_12,22:08:40,22:09:10,18700.28,1688.27,Possible DDoS
server_2,22:10:10,22:10:40,4489.08,1988.75,Normal
server_14,22:12:30,22:13:00,910.97,25.92,Normal
server_15,22:15:40,22:16:10,17544.32,7435.05,Network flood + Disk thrash suspected
server_12,22:16:00,22:16:30,4265.75,1630.7,Normal
server_3,22:17:30,22:18:00,1041.44,3875.47,Disk thrash suspected
server_10,22:17:30,22:18:00,6424.98,9922.31,Network flood + Disk thrash suspected
server_8,22:18:10,22:18:40,4445.92,623.01,Normal
server_4,22:22:00,22:22:30,940.26,6978.46,Disk thrash suspected
server_3,22:25:30,22:26:00,9630.21,128.0,Possible DDoS
server_3,22:26:30,22:27:00,4102.8,1850.53,Normal
server_4,22:27:00,22:27:30,10461.4,4372.89,Network flood + Disk thrash suspected
server_16,22:30:00,22:30:30,15453.28,143.89,Possible DDoS
server_7,22:32:00,22:32:30,17803.48,1756.5,Network flood + Disk thrash suspected
server_10,22:33:30,22:34:00,4257.87,4135.95,Normal
server_6,22:35:20,22:35:50,17925.57,141.37,Possible DDoS
server_15,22:35:50,22:36:20,17313.88,1458.32,Possible DDoS
server_17,22:37:10,22:37:40,880.92,140.5,Normal
server_15,22:38:20,22:38:50,18313.5,4093.56,Network flood + Disk thrash suspected
server_6,22:39:10,22:39:40,1017.2,5970.64,Disk thrash suspected
server_12,22:40:00,22:40:30,16216.49,156.56,Possible DDoS
server_20,22:42:00,22:42:30,9999.07,4222.56,Network flood + Disk thrash suspected
server_3,22:42:10,22:42:40,13810.61,9551.31,Network flood + Disk thrash suspected
server_11,22:42:30,22:43:00,1018.19,123.8,Normal
server_18,22:43:30,22:44:00,4060.33,1141.05,Normal
server_16,22:45:50,22:46:20,13962.36,155.36,Possible DDoS
server_18,22:47:10,22:47:40,19007.64,170.69,Possible DDoS
server_11,22:47:20,22:47:50,918.93,129.78,Normal
server_6,22:47:30,22:48:00,1075.72,808.67,Normal
server_18,22:48:20,22:48:50,3907.24,7544.02,Normal
server_14,22:49:20,22:49:50,19003.0,3632.34,Network flood + Disk thrash suspected
server_18,20:53:00,20:53:30,818.02,123.06,Normal
server_19,20:55:00,20:55:30,934.92,3717.75,Disk thrash suspected
server_12,20:55:10,20:55:40,588.99,7474.27,Disk thrash suspected
server_8,20:56:50,20:57:20,5757.47,1347.72,Possible DDoS
server_18,20:57:00,20:57:30,2524.84,506.06,Normal
server_4,20:58:40,20:59:10,12956.25,1936.55,Network flood + Disk thrash suspected
server_14,21:03:10,21:03:40,8841.06,9894.29,Network flood + Disk thrash suspected
server_7,21:07:10,21:07:40,3608.7,1403.22,Normal
server_12,21:07:40,21:08:10,1783.8,5622.12,Normal
server_19,21:11:40,21:12:10,7618.0,1843.49,Network flood + Disk thrash suspected
server_20,21:13:20,21:13:50,4533.18,6681.16,Normal
server_6,21:13:20,21:13:50,3738.41,8343.51,Normal
server_12,21:13:50,21:14:20,1913.39,1399.06,Normal
server_19,21:14:10,21:14:40,14523.87,134.2,Possible DDoS
server_5,21:20:20,21:20:50,916.48,139.86,Normal
server_12,21:22:30,21:23:00,4032.03,1389.95,Normal
server_12,21:22:40,21:23:10,3511.61,587.54,Normal
server_4,21:22:40,21:23:10,15896.68,145.4,Possible DDoS
server_4,21:22:50,21:23:20,15896.68,145.4,Possible DDoS
server_8,21:23:20,21:23:50,13650.05,1696.87,Possible DDoS
server_14,21:24:00,21:24:30,19755.0,1824.91,Network flood + Disk thrash suspected
server_12,21:25:30,21:26:00,3379.99,8331.91,Normal
server_7,21:26:10,21:26:40,12498.95,1060.57,Possible DDoS
server_3,21:28:00,21:28:30,986.99,153.07,Normal
server_6,21:28:30,21:29:00,937.88,4313.22,Disk thrash suspected
server_13,21:30:30,21:31:00,1790.76,9488.13,Normal
server_7,21:32:00,21:32:30,15649.93,6568.31,Network flood + Disk thrash suspected
server_6,21:32:40,21:33:10,15489.35,107.92,Possible DDoS
server_3,21:33:10,21:33:40,19597.04,6382.33,Network flood + Disk thrash suspected
server_1,21:34:20,21:34:50,19648.08,1226.43,Possible DDoS
server_20,21:35:20,21:35:50,1919.32,1827.48,Normal
server_6,21:41:10,21:41:40,14496.57,183.04,Possible DDoS
server_2,21:42:40,21:43:10,11313.64,4528.99,Network flood + Disk thrash suspected
server_19,21:43:20,21:43:50,1064.11,9524.63,Disk thrash suspected
server_10,21:45:20,21:45:50,15475.85,6378.09,Network flood + Disk thrash suspected
server_20,21:45:50,21:46:20,915.7,5458.3,Disk thrash suspected
server_12,21:47:50,21:48:20,14240.83,672.27,Possible DDoS
server_7,21:48:30,21:49:00,17673.43,1605.78,Possible DDoS
server_10,21:53:50,21:54:20,6496.73,187.67,Possible DDoS
server_8,21:55:40,21:56:10,2664.95,1745.28,Normal
server_3,22:00:00,22:00:30,4574.89,5645.29,Normal
server_13,22:00:10,22:00:40,3296.57,1828.48,Normal
server_19,22:00:30,22:01:00,12985.93,91.52,Possible DDoS
server_8,22:00:40,22:01:10,16520.62,86.12,Possible DDoS
server_19,22:01:10,22:01:40,4994.05,7753.6,Normal
server_18,22:02:00,22:02:30,12045.64,5857.47,Network flood + Disk thrash suspected
server_1,22:07:30,22:08:00,1009.8,145.03,Normal
server_12,22:08:20,22:08:50,18700.28,4515.52,Network flood + Disk thrash suspected
server_18,22:09:10,22:09:40,885.68,8752.71,Disk thrash suspected
server_10,22:11:30,22:12:00,1010.87,7337.3,Disk thrash suspected
server_9,22:12:00,22:12:30,1043.91,98.31,Normal
server_19,22:12:50,22:13:20,1509.04,1200.57,Normal
server_9,22:13:30,22:14:00,19361.1,7821.93,Network flood + Disk thrash suspected
server_12,22:13:50,22:14:20,19340.74,1050.42,Possible DDoS
server_18,22:20:40,22:21:10,975.07,4843.16,Disk thrash suspected
server_18,22:21:20,22:21:50,4023.37,1541.68,Normal
server_10,22:22:10,22:22:40,3279.13,6545.38,Normal
server_2,22:26:00,22:26:30,981.12,105.69,Normal
server_8,22:26:10,22:26:40,687.44,128.33,Normal
server_7,22:28:10,22:28:40,14183.38,9682.66,Network flood + Disk thrash suspected
server_6,22:29:10,22:29:40,18947.48,1724.58,Possible DDoS
server_15,22:30:00,22:30:30,13530.72,178.45,Possible DDoS
server_11,22:30:40,22:31:10,14863.81,632.06,Possible DDoS
server_5,22:31:20,22:31:50,1027.85,4600.69,Disk thrash suspected
server_13,22:32:00,22:32:30,17157.78,1814.95,Network flood + Disk thrash suspected
server_17,22:35:00,22:35:30,3202.21,9594.16,Normal
server_4,22:39:50,22:40:20,4119.34,7919.66,Normal
server_11,22:41:20,22:41:50,6022.8,188.77,Possible DDoS
server_2,22:42:40,22:43:10,956.03,96.03,Normal
server_7,22:43:30,22:44:00,974.86,5973.36,Disk thrash suspected
server_1,22:43:50,22:44:20,1027.03,3187.08,Disk thrash suspected
server_9,22:44:10,22:44:40,3414.81,1588.23,Normal
server_3,22:46:20,22:46:50,18166.0,1736.69,Possible DDoS
server_10,22:48:30,22:49:00,18275.89,43.96,Possible DDoS
server_8,20:51:40,20:52:10,4658.98,1469.53,Normal
server_12,20:54:20,20:54:50,2267.67,1653.01,Normal
server_10,20:54:40,20:55:10,956.82,9758.68,Disk thrash suspected
server_15,20:54:50,20:55:20,4087.93,1812.04,Normal
server_1,20:57:40,20:58:10,3735.59,1077.0,Normal
server_15,20:58:10,20:58:40,2825.58,6691.17,Normal
server_17,21:00:50,21:01:20,5565.13,7868.2,Network flood + Disk thrash suspected
server_11,21:03:30,21:04:00,2602.56,4500.68,Normal
server_20,21:03:50,21:04:20,18674.36,1091.88,Possible DDoS
server_12,21:06:30,21:07:00,9238.42,6920.54,Network flood + Disk thrash suspected
server_8,21:08:10,21:08:40,3210.64,650.06,Normal
server_2,21:09:20,21:09:50,4619.21,7830.98,Normal
server_6,21:11:30,21:12:00,864.31,6865.88,Disk thrash suspected
server_16,21:11:40,21:12:10,1598.03,7110.66,Disk thrash suspected
server_14,21:11:50,21:12:20,936.54,53.17,Normal
server_15,21:13:10,21:13:40,10355.14,9565.48,Network flood + Disk thrash suspected
server_13,21:19:10,21:19:40,9612.53,112.14,Possible DDoS
server_9,21:20:10,21:20:40,18257.09,1659.65,Possible DDoS
server_13,21:22:10,21:22:40,950.62,9984.52,Disk thrash suspected
server_4,21:24:00,21:24:30,7923.58,4761.26,Network flood + Disk thrash suspected
server_9,21:25:00,21:25:30,5579.91,136.98,Possible DDoS
server_16,21:26:50,21:27:20,10509.92,90.16,Possible DDoS
server_8,21:27:30,21:28:00,4385.55,6223.75,Normal
server_14,21:28:50,21:29:20,15761.41,5911.58,Network flood + Disk thrash suspected
server_13,21:30:50,21:31:20,3375.38,6396.09,Normal
server_3,21:32:50,21:33:20,963.02,6382.33,Disk thrash suspected
server_10,21:33:00,21:33:30,11463.14,1622.47,Possible DDoS
server_19,21:33:10,21:33:40,7225.82,3585.12,Network flood + Disk thrash suspected
server_4,21:34:20,21:34:50,4090.32,1730.29,Normal
server_6,21:38:10,21:38:40,4723.01,1840.37,Normal
server_19,21:38:50,21:39:20,3712.21,1487.81,Normal
server_13,21:40:40,21:41:10,574.77,4546.94,Disk thrash suspected
server_5,21:42:50,21:43:20,981.09,143.4,Normal
server_9,21:43:50,21:44:20,3188.77,636.22,Normal
server_20,21:44:10,21:44:40,2660.57,1490.91,Normal
server_3,21:47:50,21:48:20,6015.59,959.68,Possible DDoS
server_18,21:50:20,21:50:50,12566.46,63.96,Possible DDoS
server_12,21:53:50,21:54:20,4096.82,9223.81,Normal
server_5,21:54:20,21:54:50,992.19,211.22,Normal
server_5,22:02:10,22:02:40,14255.55,58.98,Possible DDoS
server_13,22:09:50,22:10:20,3110.64,1669.65,Normal
server_6,22:12:10,22:12:40,2373.6,8195.11,Normal
server_5,22:12:30,22:13:00,6804.78,1489.14,Possible DDoS
server_13,22:17:40,22:18:10,18106.35,5252.2,Network flood + Disk thrash suspected
server_12,22:20:30,22:21:00,3121.48,1200.86,Normal
server_16,22:23:20,22:23:50,872.15,103.36,Normal
server_2,22:26:20,22:26:50,947.48,191.19,Normal
server_13,22:27:30,22:28:00,8087.67,7122.91,Network flood + Disk thrash suspected
server_20,22:28:50,22:29:20,11582.53,189.22,Possible DDoS
server_13,22:33:30,22:34:00,981.11,9593.88,Disk thrash suspected
server_11,22:36:50,22:37:20,662.98,4791.62,Disk thrash suspected
server_20,22:39:50,22:40:20,12623.84,918.67,Possible DDoS
server_10,22:41:00,22:41:30,885.85,7908.02,Disk thrash suspected
server_15,22:47:30,22:48:00,17801.28,9456.02,Network flood + Disk thrash suspected
server_10,22:49:10,22:49:40,7560.11,124.23,Possible DDoS
server_4,22:50:30,22:51:00,3542.62,1896.14,Normal
server_7,22:51:10,22:51:40,932.62,112.99,Normal
server_16,20:52:40,20:53:10,1763.37,8789.21,Normal
server_5,20:53:00,20:53:30,4680.45,941.79,Normal
server_11,20:53:10,20:53:40,19001.79,72.7,Possible DDoS
server_6,20:54:30,20:55:00,3959.37,675.28,Normal
server_5,20:55:40,20:56:10,19566.39,1026.67,Possible DDoS
server_5,20:55:50,20:56:20,3361.42,1026.67,Normal
server_20,20:56:50,20:57:20,3709.65,1364.39,Normal
server_4,20:57:00,20:57:30,939.77,139.54,Normal
server_18,20:59:00,20:59:30,3293.7,720.73,Normal
server_8,21:02:00,21:02:30,2216.51,1543.2,Normal
server_19,21:02:50,21:03:20,4765.67,745.15,Normal
server_7,21:04:10,21:04:40,9987.08,166.68,Possible DDoS
server_19,21:05:10,21:05:40,2132.01,9774.6,Normal
server_1,21:05:40,21:06:10,18667.7,7928.46,Network flood + Disk thrash suspected
server_9,21:05:40,21:06:10,2442.91,907.89,Normal
server_9,21:07:00,21:07:30,14312.55,154.93,Possible DDoS
server_1,21:08:20,21:08:50,686.43,168.52,Normal
server_6,21:11:10,21:11:40,864.31,8538.95,Disk thrash suspected
server_13,21:12:00,21:12:30,4910.26,5032.07,Normal
server_2,21:16:30,21:17:00,17188.3,894.82,Possible DDoS
server_9,21:18:40,21:19:10,991.79,74.52,Normal
server_4,21:19:30,21:20:00,9530.64,126.52,Possible DDoS
server_7,21:19:40,21:20:10,1733.88,9074.02,Disk thrash suspected
server_19,21:20:20,21:20:50,980.82,170.18,Normal
server_8,21:20:30,21:21:00,3837.85,6160.03,Normal
server_4,21:21:00,21:21:30,11584.02,1825.36,Network flood + Disk thrash suspected
server_2,21:22:00,21:22:30,15463.12,9660.41,Network flood + Disk thrash suspected
server_16,21:22:10,21:22:40,16246.17,141.32,Possible DDoS
server_18,21:26:40,21:27:10,1033.76,5269.16,Disk thrash suspected
server_6,21:29:50,21:30:20,10861.01,1054.23,Possible DDoS
server_11,21:34:20,21:34:50,18790.85,987.81,Possible DDoS
server_15,21:35:40,21:36:10,6923.51,182.68,Possible DDoS
server_7,21:37:00,21:37:30,2147.25,1512.81,Normal
server_16,21:38:20,21:38:50,737.82,5759.9,Disk thrash suspected
server_4,21:40:30,21:41:00,18276.28,3916.12,Network flood + Disk thrash suspected
server_12,21:40:50,21:41:20,13759.67,178.75,Possible DDoS
server_14,21:47:30,21:48:00,728.35,136.48,Normal
server_19,21:48:10,21:48:40,955.69,111.86,Normal
server_19,21:51:20,21:51:50,2623.29,7536.13,Normal
server_10,22:01:20,22:01:50,980.77,138.13,Normal
server_6,22:01:20,22:01:50,4064.26,9162.91,Normal
server_20,22:06:30,22:07:00,914.79,88.63,Normal
server_11,22:09:00,22:09:30,2895.99,1263.64,Normal
server_12,22:12:20,22:12:50,12400.01,104.15,Possible DDoS
server_13,22:18:50,22:19:20,969.25,112.82,Normal
server_18,22:20:10,22:20:40,886.65,166.45,Normal
server_15,22:20:40,22:21:10,16471.63,1887.29,Network flood + Disk thrash suspected
server_3,22:21:20,22:21:50,16636.58,4063.95,Network flood + Disk thrash suspected
server_5,22:21:40,22:22:10,3889.06,9031.07,Normal
server_6,22:23:00,22:23:30,11390.66,143.85,Possible DDoS
server_18,22:23:30,22:24:00,5941.57,115.01,Possible DDoS
