ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:52:10,server_17,69.02,68.69,633.39,424.77,0.0
20:52:10,server_16,38.49,57.62,352.54,242.04,49.44
20:52:10,server_14,47.18,26.97,194.42,194.62,6090.79
20:52:10,server_13,4.19,91.0,0.0,0.0,54.97
20:52:10,server_12,82.96,22.66,841.93,1212.28,34.57
20:52:10,server_11,21.58,93.73,191.28,119.04,0.0
20:52:10,server_15,39.74,56.93,309.94,193.15,68.11
20:52:10,server_9,62.84,93.1,575.61,797.95,48.07
20:52:10,server_2,63.64,75.87,710.01,792.51,213.87
20:52:10,server_3,87.26,91.14,915.78,694.94,89.88
20:52:10,server_4,56.94,30.03,624.69,374.68,101.63
20:52:10,server_5,36.8,35.01,349.44,272.66,0.0
20:52:10,server_1,12.76,93.82,118.43,161.38,88.11
20:52:10,server_6,42.69,50.42,4643.18,4958.77,1655.28
20:52:10,server_7,58.96,49.34,1825.36,1856.3,681.11
20:52:10,server_8,47.47,40.81,470.24,575.71,120.67
20:52:10,server_10,22.63,22.44,316.79,223.35,95.25
20:52:15,server_12,30.55,47.8,182.69,133.26,8505.73
20:52:15,server_19,59.86,52.3,3353.96,4000.38,1101.49
20:52:15,server_18,51.75,62.57,553.37,675.85,0.0
20:52:15,server_17,30.23,48.59,159.78,87.74,5651.9
20:52:15,server_16,23.28,19.99,230.96,249.18,0.0
20:52:15,server_15,28.34,41.0,215.39,233.97,54.27
20:52:15,server_14,33.67,43.69,20.53,22.63,3703.96
20:52:15,server_13,23.6,20.14,276.78,232.41,26.11
20:52:15,server_11,22.44,53.0,200.04,265.85,85.18
20:52:15,server_20,92.82,85.23,886.93,604.63,5.3
20:52:15,server_9,96.42,4.35,894.37,1254.71,4.56
20:52:15,server_1,25.79,33.6,279.6,390.53,0.0
20:52:15,server_2,97.26,5.69,1079.06,1500.8,155.39
20:52:15,server_3,82.93,21.42,839.14,462.32,0.0
20:52:15,server_4,81.69,6.07,744.37,668.42,62.32
20:52:15,server_10,96.64,25.78,1028.1,810.94,129.93
20:52:15,server_6,68.65,66.36,3532.68,3933.76,1410.83
20:52:15,server_7,57.46,35.25,5556.4,6326.35,14.25
20:52:15,server_8,40.64,33.6,61.88,58.65,9486.02
20:52:15,server_5,77.76,37.02,11264.77,13064.39,132.18
20:52:20,server_11,37.73,47.49,358.88,451.49,20.77
20:52:20,server_19,20.68,26.5,308.0,453.92,136.27
20:52:20,server_18,62.7,68.61,666.72,536.46,40.48
20:52:20,server_17,55.69,79.03,570.53,775.88,33.4
20:52:20,server_16,26.15,90.29,279.29,259.36,134.71
20:52:20,server_15,53.07,40.5,3685.66,3501.22,1368.18
20:52:20,server_14,94.67,85.32,986.98,1180.28,139.21
20:52:20,server_13,85.43,13.4,813.25,869.49,86.82
20:52:20,server_12,63.34,63.41,651.13,551.54,44.96
20:52:20,server_20,52.78,56.44,476.74,537.47,59.47
20:52:20,server_10,72.65,57.5,15275.9,17108.45,0.97
20:52:20,server_8,81.26,13.43,795.63,1016.22,59.06
20:52:20,server_7,21.16,88.32,242.02,292.47,105.7
20:52:20,server_6,40.86,42.56,332.33,459.4,2.08
20:52:20,server_5,60.58,47.99,13839.39,13604.77,17.69
20:52:20,server_4,45.61,63.54,452.42,361.63,0.06
20:52:20,server_3,21.15,23.72,168.8,215.45,59.2
20:52:20,server_2,67.93,66.71,1861.08,1685.26,713.65
20:52:20,server_1,34.06,39.39,346.55,248.23,0.0
20:52:20,server_9,99.71,80.28,1010.93,928.71,110.28
20:52:25,server_13,44.34,41.12,1012.81,863.29,903.51
20:52:25,server_14,58.17,47.41,15738.84,18184.21,86.14
20:52:25,server_16,45.12,54.64,1521.1,1275.39,936.22
20:52:25,server_12,88.82,90.83,821.06,771.68,79.3
20:52:25,server_18,21.21,19.57,255.13,183.21,25.53
20:52:25,server_19,36.39,46.04,81.11,81.07,6724.66
20:52:25,server_20,57.49,40.93,559.29,650.97,97.85
20:52:25,server_17,47.87,78.85,506.21,684.11,68.49
20:52:25,server_11,49.46,24.56,47.92,48.71,5365.92
20:52:25,server_15,24.21,47.23,22.21,28.22,4127.81
20:52:25,server_9,27.57,33.24,217.3,215.81,38.01
20:52:25,server_1,63.54,48.51,4475.5,3823.6,1327.12
20:52:25,server_2,49.96,27.11,156.81,139.52,8551.07
20:52:25,server_3,1.16,92.55,0.0,0.0,0.0
20:52:25,server_4,91.31,14.61,1006.17,624.81,43.17
20:52:25,server_10,22.62,31.55,85.21,62.53,9671.24
20:52:25,server_6,42.81,46.53,432.02,527.07,120.44
20:52:25,server_7,31.66,31.96,158.8,213.1,7359.8
20:52:25,server_8,67.36,79.27,706.0,834.01,150.79
20:52:25,server_5,39.24,48.15,301.36,448.08,7.33
20:52:30,server_20,38.42,43.28,149.88,147.1,8548.7
20:52:30,server_19,53.61,50.77,434.96,263.85,0.0
20:52:30,server_18,67.4,62.27,619.43,705.36,49.3
20:52:30,server_17,67.04,68.73,1552.12,1860.74,847.3
20:52:30,server_16,26.65,35.55,145.94,167.15,52.72
20:52:30,server_15,49.8,25.25,122.44,133.55,8360.21
20:52:30,server_14,63.17,63.29,615.24,338.78,0.0
20:52:30,server_12,7.57,80.89,30.28,26.78,53.0
20:52:30,server_11,90.71,8.4,874.0,752.0,0.0
20:52:30,server_13,83.35,26.67,949.5,676.52,30.16
20:52:30,server_9,97.37,22.49,906.56,1324.34,57.65
20:52:30,server_8,69.99,58.65,653.79,600.85,0.0
20:52:30,server_7,33.65,37.75,315.71,313.2,0.0
20:52:30,server_6,62.7,66.94,576.25,420.26,62.57
20:52:30,server_5,29.16,29.17,321.27,455.93,100.24
20:52:30,server_4,58.66,66.3,613.07,358.61,145.47
20:52:30,server_3,99.83,84.59,1023.09,871.85,147.18
20:52:30,server_2,69.47,58.33,5242.12,5150.2,73.74
20:52:30,server_10,20.95,88.31,214.43,244.24,51.05
20:52:30,server_1,23.08,29.69,128.59,91.35,47.08
20:52:35,server_13,27.69,28.5,227.5,307.89,48.82
20:52:35,server_14,98.58,10.9,1005.11,1389.8,88.98
20:52:35,server_15,78.07,30.86,5647.96,5725.61,36.67
20:52:35,server_16,67.55,76.75,645.41,770.81,105.94
20:52:35,server_20,52.19,55.19,530.6,267.27,119.3
20:52:35,server_18,28.55,25.53,262.49,319.76,0.0
20:52:35,server_19,99.57,80.26,1009.95,829.84,96.9
20:52:35,server_12,99.79,93.81,1115.34,900.16,73.26
20:52:35,server_17,37.14,45.0,409.97,333.75,66.55
20:52:35,server_11,53.44,66.9,3120.31,3382.45,811.36
20:52:35,server_3,90.12,14.44,878.88,481.72,85.98
20:52:35,server_9,35.2,37.81,159.0,82.95,5355.9
20:52:35,server_8,88.7,89.56,896.98,1137.63,43.06
20:52:35,server_7,21.03,42.49,115.57,120.46,3405.93
20:52:35,server_6,9.89,97.32,65.89,87.34,67.59
20:52:35,server_5,32.48,44.82,136.82,142.35,6022.99
20:52:35,server_4,47.37,45.12,1609.33,1723.14,1971.2
20:52:35,server_2,97.09,10.57,1081.37,1369.22,34.86
20:52:35,server_1,25.32,44.57,258.78,346.07,0.0
20:52:35,server_10,60.07,45.45,577.28,863.39,98.34
20:52:40,server_12,89.27,94.43,909.32,599.77,141.3
20:52:40,server_13,20.28,41.8,16.47,22.71,6543.25
20:52:40,server_14,61.22,53.54,2429.62,2420.94,1066.03
20:52:40,server_15,35.54,37.74,31.12,17.45,5494.93
20:52:40,server_19,90.23,19.83,894.21,1306.99,83.55
20:52:40,server_17,30.36,26.08,109.31,100.87,9299.16
20:52:40,server_18,37.41,36.56,374.12,556.01,92.55
20:52:40,server_11,37.3,39.59,426.32,564.93,43.39
20:52:40,server_16,12.96,97.47,96.85,103.66,76.98
20:52:40,server_20,93.32,17.24,940.08,535.53,0.0
20:52:40,server_10,47.45,33.56,24.94,35.13,6473.39
20:52:40,server_8,95.67,9.96,977.56,1247.03,30.35
20:52:40,server_1,34.86,51.94,400.07,221.64,17.33
20:52:40,server_2,92.34,94.13,867.72,675.93,44.09
20:52:40,server_3,57.14,62.0,612.9,749.83,56.5
20:52:40,server_9,68.54,65.23,739.75,545.2,54.39
20:52:40,server_5,39.81,32.17,447.87,535.79,0.0
20:52:40,server_6,94.33,2.86,928.01,1231.08,0.0
20:52:40,server_7,25.99,81.66,301.18,414.76,128.1
20:52:40,server_4,99.92,81.36,1039.14,1379.95,56.25
20:52:45,server_13,34.99,43.51,413.76,575.09,0.0
20:52:45,server_20,14.91,82.95,68.9,46.87,30.47
20:52:45,server_19,23.78,18.85,192.26,211.54,0.0
20:52:45,server_18,13.27,97.28,84.02,89.85,132.88
20:52:45,server_17,95.64,89.58,931.88,499.53,106.82
20:52:45,server_16,88.69,12.71,926.86,1088.31,66.59
20:52:45,server_15,5.56,92.38,50.95,68.43,0.0
20:52:45,server_14,54.81,31.13,11823.23,10673.29,38.48
20:52:45,server_12,11.5,81.67,180.21,254.02,34.24
20:52:45,server_11,93.84,16.02,890.64,937.29,0.0
20:52:45,server_1,40.3,41.55,185.64,268.75,8331.18
20:52:45,server_9,88.84,11.85,906.18,822.96,9.67
20:52:45,server_8,88.54,3.76,912.26,1193.11,43.23
20:52:45,server_7,32.5,27.2,10.58,5.58,5680.28
20:52:45,server_6,48.29,63.71,523.7,756.88,0.0
20:52:45,server_5,22.24,44.67,196.25,250.52,9454.9
20:52:45,server_4,27.17,49.78,27.88,34.78,9017.13
20:52:45,server_3,23.41,86.99,267.11,250.92,80.46
20:52:45,server_2,91.11,87.38,843.48,601.15,64.41
20:52:45,server_10,25.93,38.76,306.01,320.0,51.15
20:52:50,server_13,24.18,15.02,240.29,149.46,40.71
20:52:50,server_14,97.13,97.76,1018.0,649.38,148.89
20:52:50,server_15,28.86,41.25,303.31,224.18,29.06
20:52:50,server_16,47.67,43.57,193.06,143.79,3913.53
20:52:50,server_12,90.28,92.34,917.42,1266.36,37.77
20:52:50,server_18,53.44,42.87,551.17,398.72,0.0
20:52:50,server_19,50.75,36.24,16720.07,17187.0,186.38
20:52:50,server_20,69.7,61.33,726.93,716.18,114.2
20:52:50,server_17,22.56,49.23,56.82,42.78,9793.26
20:52:50,server_11,43.77,59.05,474.03,619.9,71.28
20:52:50,server_1,67.16,75.1,663.56,752.4,94.96
20:52:50,server_9,41.24,43.27,170.57,176.5,3237.84
20:52:50,server_8,67.51,48.95,15616.26,16545.86,88.88
20:52:50,server_7,41.95,26.31,156.52,131.18,9661.3
20:52:50,server_6,22.71,33.75,264.4,243.38,63.79
20:52:50,server_5,56.13,48.45,8399.38,8712.54,104.49
20:52:50,server_4,21.39,20.63,193.35,227.75,77.13
20:52:50,server_3,13.63,94.29,240.4,327.63,17.88
20:52:50,server_2,64.54,78.37,701.38,876.64,107.24
20:52:50,server_10,60.99,63.83,672.59,836.74,59.42
20:52:55,server_13,35.22,47.33,12.69,6.92,9572.84
20:52:55,server_14,69.28,64.41,1975.92,1607.61,1382.34
20:52:55,server_15,50.74,57.26,480.27,350.59,130.9
20:52:55,server_16,21.33,46.49,186.19,270.15,8789.21
20:52:55,server_20,88.85,84.95,970.17,1119.15,53.75
20:52:55,server_18,45.26,40.97,513.44,270.63,41.47
20:52:55,server_19,51.8,62.61,3234.65,2722.53,1640.22
20:52:55,server_12,73.81,40.63,14475.5,16733.78,124.71
20:52:55,server_17,43.18,58.47,370.84,549.34,101.42
20:52:55,server_11,24.39,12.69,258.35,354.0,45.44
20:52:55,server_5,69.96,52.33,10146.48,9081.25,74.76
20:52:55,server_9,65.24,75.49,593.04,793.4,102.64
20:52:55,server_2,44.48,51.22,447.31,575.62,39.08
20:52:55,server_3,55.41,59.66,489.13,408.89,52.64
20:52:55,server_4,48.16,65.83,3889.45,4409.58,1808.91
20:52:55,server_1,67.24,57.9,713.81,769.02,56.26
20:52:55,server_6,61.05,43.45,2464.97,2838.38,616.99
20:52:55,server_7,82.63,10.07,889.11,1214.95,91.69
20:52:55,server_8,45.95,35.38,171.37,156.9,7724.02
20:52:55,server_10,44.36,40.66,447.22,598.76,40.16
20:53:00,server_12,92.65,94.14,945.97,708.67,48.5
20:53:00,server_19,46.96,58.54,438.67,550.85,117.8
20:53:00,server_18,58.42,72.21,565.21,744.68,96.4
20:53:00,server_17,45.27,45.07,2007.1,2237.25,922.99
20:53:00,server_16,90.69,82.81,912.58,799.64,27.14
20:53:00,server_15,56.4,51.65,1154.56,1085.54,1077.2
20:53:00,server_14,63.98,42.7,1219.0,1462.27,685.44
20:53:00,server_13,67.25,76.09,608.58,906.86,8.43
20:53:00,server_11,19.83,85.07,133.38,120.25,14.42
20:53:00,server_20,0.29,82.91,78.47,64.0,61.67
20:53:00,server_9,29.55,36.06,285.66,239.76,83.97
20:53:00,server_1,55.16,53.45,429.55,426.23,98.19
20:53:00,server_2,15.26,94.62,133.05,158.49,77.94
20:53:00,server_3,82.7,13.73,767.17,982.14,44.19
20:53:00,server_4,25.58,28.94,184.03,140.16,4883.24
20:53:00,server_10,30.16,46.37,332.15,230.07,113.14
20:53:00,server_6,50.1,61.22,1311.03,1211.68,590.39
20:53:00,server_7,90.74,91.2,923.18,1234.85,86.27
20:53:00,server_8,14.73,81.7,102.0,91.7,116.79
20:53:00,server_5,65.24,61.31,2487.39,2166.4,647.95
20:53:05,server_11,55.24,67.08,590.89,842.05,113.91
20:53:05,server_19,50.61,58.27,444.02,503.6,81.48
20:53:05,server_18,83.34,22.98,818.02,651.71,123.06
20:53:05,server_17,22.0,48.0,264.5,392.22,47.27
20:53:05,server_16,51.44,61.4,1763.37,1515.12,1505.1
20:53:05,server_15,15.77,88.61,157.1,109.46,137.73
20:53:05,server_14,41.02,50.93,424.31,444.42,0.0
20:53:05,server_13,7.14,88.15,96.63,81.8,53.8
20:53:05,server_12,54.79,52.15,6119.14,6420.97,80.39
20:53:05,server_20,24.53,21.6,165.72,157.56,60.02
20:53:05,server_10,24.06,25.17,307.41,219.94,53.39
20:53:05,server_8,50.7,55.34,489.12,305.88,17.23
20:53:05,server_7,49.86,66.68,2079.97,2319.62,1864.39
20:53:05,server_6,8.24,86.86,70.63,93.46,12.0
20:53:05,server_5,94.96,2.91,990.81,788.23,48.99
20:53:05,server_4,61.95,48.81,3886.2,4246.57,1355.56
20:53:05,server_3,29.29,25.26,266.61,162.8,0.0
20:53:05,server_2,45.62,23.03,9.02,11.8,6316.02
20:53:05,server_1,72.96,30.09,17452.89,16663.8,188.18
20:53:05,server_9,42.96,62.21,3645.24,4056.59,1050.68
20:53:10,server_14,54.44,51.98,490.99,626.13,118.96
20:53:10,server_15,20.95,25.06,6.62,7.95,6140.67
20:53:10,server_16,34.11,38.18,147.74,125.91,6669.34
20:53:10,server_13,90.18,1.32,923.96,876.67,0.0
20:53:10,server_18,60.76,57.74,634.8,793.57,79.16
20:53:10,server_19,28.95,85.0,236.74,133.77,4.29
20:53:10,server_20,95.23,94.66,900.94,1125.68,84.15
20:53:10,server_17,98.32,91.01,989.87,1246.34,44.96
20:53:10,server_12,62.41,47.09,6330.57,5568.89,82.3
20:53:10,server_11,49.65,54.6,445.6,364.23,0.0
20:53:10,server_1,64.01,64.04,644.94,700.22,27.82
20:53:10,server_9,48.73,52.38,499.39,440.18,80.73
20:53:10,server_8,60.68,52.15,7259.49,6240.12,79.86
20:53:10,server_7,51.47,54.97,471.56,347.79,0.0
20:53:10,server_6,25.29,95.82,327.6,404.93,78.22
20:53:10,server_5,59.21,66.41,542.02,606.94,153.6
20:53:10,server_4,48.35,55.75,2215.0,2236.88,1229.1
20:53:10,server_3,58.19,48.62,15219.7,13030.23,20.14
20:53:10,server_2,92.01,14.81,1005.8,1341.71,52.19
20:53:10,server_10,34.89,59.71,323.53,162.16,105.22
20:53:15,server_13,55.05,48.88,3235.19,3550.04,817.52
20:53:15,server_14,41.37,38.58,404.31,584.93,27.53
20:53:15,server_15,5.05,81.93,25.46,23.8,100.06
20:53:15,server_20,94.82,2.11,956.84,870.09,41.69
20:53:15,server_18,40.85,49.96,420.52,596.41,0.0
20:53:15,server_19,92.14,11.46,829.24,800.39,74.71
20:53:15,server_12,84.06,15.15,899.24,1099.05,71.56
20:53:15,server_16,53.69,46.53,569.91,459.51,12.59
20:53:15,server_11,62.87,54.18,660.46,433.06,44.01
20:53:15,server_17,80.15,6.73,779.08,1112.47,13.49
20:53:15,server_9,32.75,37.38,335.72,353.93,0.0
20:53:15,server_10,58.79,70.9,590.09,557.26,49.68
20:53:15,server_2,95.12,97.65,1047.13,700.79,80.33
20:53:15,server_3,44.17,43.46,9.58,14.08,5044.46
20:53:15,server_4,58.66,63.46,550.3,725.01,32.79
20:53:15,server_1,93.44,5.55,941.14,1118.18,0.0
20:53:15,server_6,42.21,64.83,3199.04,2852.73,1282.18
20:53:15,server_7,18.73,99.41,200.23,291.44,102.41
20:53:15,server_8,85.16,93.53,831.11,1150.29,45.92
20:53:15,server_5,49.2,57.2,4680.45,4076.14,941.79
20:53:20,server_20,24.98,24.01,7.95,7.87,8373.57
20:53:20,server_12,49.36,60.9,605.76,371.49,53.37
20:53:20,server_19,61.82,73.03,604.71,560.98,114.17
20:53:20,server_18,81.42,24.76,730.29,1054.5,83.14
20:53:20,server_17,67.52,70.38,683.92,458.78,80.35
20:53:20,server_16,48.76,37.9,158.23,220.27,8200.24
20:53:20,server_15,33.75,32.3,66.35,89.81,7660.61
20:53:20,server_14,66.35,44.89,19113.81,19283.53,66.48
20:53:20,server_13,94.71,82.53,935.17,982.43,79.49
20:53:20,server_11,27.81,28.74,315.5,326.12,0.0
20:53:20,server_7,24.63,25.91,272.99,408.43,56.6
20:53:20,server_9,53.86,33.71,18408.1,17017.82,3.84
20:53:20,server_8,21.3,15.07,223.41,208.63,0.0
20:53:20,server_6,20.61,31.69,124.19,132.75,9803.97
20:53:20,server_5,31.63,24.16,359.42,222.08,181.11
20:53:20,server_4,69.41,61.62,2401.63,2573.37,1762.21
20:53:20,server_3,21.69,16.94,304.0,227.94,10.11
20:53:20,server_2,48.16,50.8,540.85,428.41,77.32
20:53:20,server_1,23.7,21.33,237.91,346.82,0.0
20:53:20,server_10,46.42,45.22,539.5,726.17,91.34
20:53:25,server_15,22.05,83.53,199.37,234.24,53.09
20:53:25,server_13,30.84,28.34,331.05,448.65,100.99
20:53:25,server_14,15.65,87.65,159.73,121.67,116.61
20:53:25,server_16,31.15,20.49,307.97,424.52,82.12
20:53:25,server_12,27.37,14.24,251.77,180.57,63.21
20:53:25,server_18,46.09,58.83,399.04,487.3,54.16
20:53:25,server_19,49.16,40.45,15.81,13.56,9511.81
20:53:25,server_20,27.99,93.76,317.47,358.25,61.39
20:53:25,server_17,95.51,90.62,983.05,1418.26,43.89
20:53:25,server_11,93.38,16.64,979.64,1401.84,65.05
20:53:25,server_1,60.06,60.08,648.97,826.99,58.82
20:53:25,server_9,80.42,22.44,791.0,933.82,13.76
20:53:25,server_2,10.24,97.12,67.48,55.14,43.35
20:53:25,server_3,20.38,18.48,169.7,148.22,80.29
20:53:25,server_4,27.56,22.04,230.74,289.96,55.85
20:53:25,server_10,51.48,39.61,16578.15,16101.93,33.76
20:53:25,server_6,26.75,40.34,155.07,202.18,5067.93
20:53:25,server_7,56.35,51.51,558.5,738.37,10.6
20:53:25,server_8,29.98,80.84,329.12,267.46,57.97
20:53:25,server_5,98.03,94.68,969.72,494.0,203.2
20:53:30,server_13,80.28,21.23,723.67,714.3,26.2
20:53:30,server_20,43.76,34.79,56.18,30.81,7714.5
20:53:30,server_19,67.05,61.82,2052.5,2215.07,1616.36
20:53:30,server_18,34.58,49.84,496.99,625.82,3.18
20:53:30,server_17,1.99,88.42,0.0,0.0,135.28
20:53:30,server_16,95.3,11.18,808.55,543.25,83.22
20:53:30,server_15,63.82,69.96,672.44,728.42,33.91
20:53:30,server_14,22.02,29.12,99.33,91.68,5180.74
20:53:30,server_12,46.09,41.78,459.48,555.5,0.0
20:53:30,server_11,63.51,32.37,9051.5,7499.66,59.37
20:53:30,server_1,64.79,75.01,581.47,455.74,43.77
20:53:30,server_9,32.76,35.7,395.26,516.52,0.0
20:53:30,server_8,67.43,37.73,9955.94,9559.03,3.29
20:53:30,server_7,31.34,40.18,294.75,187.75,11.5
20:53:30,server_6,59.92,67.63,601.71,309.96,49.0
20:53:30,server_5,29.9,35.66,219.14,142.96,71.75
20:53:30,server_4,45.47,53.09,2664.93,3130.19,694.04
20:53:30,server_3,39.84,23.27,152.73,111.35,8548.91
20:53:30,server_2,1.88,81.86,34.12,41.05,15.18
20:53:30,server_10,47.88,58.14,2811.28,2848.56,1490.38
20:53:35,server_13,45.6,34.19,191.47,254.08,9770.84
20:53:35,server_14,18.95,93.47,218.28,281.5,58.41
20:53:35,server_15,42.27,40.91,1816.71,1578.02,1962.21
20:53:35,server_16,69.33,80.13,722.0,588.05,59.58
20:53:35,server_12,43.44,56.05,421.39,579.95,115.74
20:53:35,server_18,69.51,58.57,6558.93,5478.01,191.47
20:53:35,server_19,60.03,68.24,624.75,594.51,34.87
20:53:35,server_20,54.56,51.64,4993.67,5723.69,1921.08
20:53:35,server_17,9.56,87.23,98.54,132.42,89.95
20:53:35,server_11,60.26,58.66,19001.79,17740.68,72.7
20:53:35,server_1,93.88,97.96,952.05,1217.36,69.99
20:53:35,server_9,69.14,68.47,3655.17,3243.66,1188.53
20:53:35,server_8,86.42,99.82,872.27,1166.71,91.23
20:53:35,server_7,58.87,74.8,525.5,746.66,0.0
20:53:35,server_6,41.54,26.96,141.96,116.77,4225.46
20:53:35,server_5,88.6,90.06,947.52,1291.19,71.34
20:53:35,server_4,6.79,91.16,63.08,71.36,79.17
20:53:35,server_3,39.0,48.44,387.44,331.22,0.0
20:53:35,server_2,50.36,70.69,506.7,505.86,103.89
20:53:35,server_10,51.85,45.3,4831.06,5444.67,595.32
20:53:40,server_13,53.98,67.93,2940.08,2714.73,1855.72
20:53:40,server_14,46.99,24.3,61.52,48.33,9290.42
20:53:40,server_15,21.47,14.43,155.79,185.66,30.17
20:53:40,server_16,47.06,51.6,473.19,615.39,72.15
20:53:40,server_20,47.58,68.69,480.8,264.39,70.06
20:53:40,server_18,46.39,54.06,465.03,413.15,35.26
20:53:40,server_19,43.23,44.76,2133.47,2127.1,1719.74
20:53:40,server_12,70.23,36.96,12608.04,14837.5,149.0
20:53:40,server_17,68.38,69.13,751.16,588.38,67.65
20:53:40,server_11,44.54,44.27,87.14,85.45,8237.21
20:53:40,server_1,64.89,63.3,1468.23,1723.96,1637.54
20:53:40,server_9,4.36,96.29,51.84,55.13,42.22
20:53:40,server_2,86.29,4.63,855.7,1274.29,21.89
20:53:40,server_3,61.28,68.63,523.83,607.44,97.07
20:53:40,server_4,35.33,44.71,293.57,265.64,88.97
20:53:40,server_10,55.05,72.58,570.89,327.75,120.55
20:53:40,server_6,79.98,42.71,13776.14,14828.43,169.24
20:53:40,server_7,22.58,87.92,207.29,203.22,0.0
20:53:40,server_8,23.84,24.6,89.54,77.13,3123.8
20:53:40,server_5,85.01,92.81,805.13,541.48,126.34
20:53:45,server_12,98.97,84.07,1000.55,996.72,62.82
20:53:45,server_19,90.75,96.61,896.1,767.26,152.54
20:53:45,server_18,48.1,58.91,439.8,409.86,14.71
20:53:45,server_17,55.49,64.75,2033.37,2111.17,808.28
20:53:45,server_16,92.09,96.34,888.98,966.08,85.88
20:53:45,server_15,29.17,36.39,260.64,249.68,0.0
20:53:45,server_14,92.86,82.81,945.68,1293.1,47.85
20:53:45,server_13,99.07,90.83,941.16,684.01,117.61
20:53:45,server_20,97.42,84.61,1001.11,517.66,0.0
20:53:45,server_11,85.24,82.21,832.61,1010.76,122.93
20:53:45,server_9,21.44,34.62,151.65,92.0,58.45
20:53:45,server_8,81.0,3.23,804.21,784.75,0.0
20:53:45,server_7,28.13,28.37,329.56,493.01,0.0
20:53:45,server_6,12.57,90.1,169.59,240.77,108.33
20:53:45,server_5,23.43,36.78,105.54,100.9,8543.4
20:53:45,server_4,46.94,37.1,489.5,324.46,68.38
20:53:45,server_3,66.81,55.59,2581.99,3038.25,1743.23
20:53:45,server_2,95.48,91.05,966.7,683.01,195.84
20:53:45,server_1,60.09,63.24,1843.7,1510.82,863.91
20:53:45,server_10,55.5,39.76,9444.38,9082.98,112.08
20:53:50,server_13,37.44,36.87,338.13,207.17,0.0
20:53:50,server_14,69.53,60.64,4432.97,3546.66,768.62
20:53:50,server_15,64.68,67.49,3822.57,4412.59,516.91
20:53:50,server_16,4.78,85.08,78.51,67.46,129.82
20:53:50,server_12,94.95,1.35,989.62,1045.36,33.69
20:53:50,server_18,27.76,34.56,290.36,342.77,24.48
20:53:50,server_19,8.46,87.18,93.04,79.93,0.0
20:53:50,server_20,36.07,38.25,45.32,48.89,7269.08
20:53:50,server_17,40.68,26.78,120.48,105.57,3283.57
20:53:50,server_11,21.8,23.25,208.31,238.27,7.77
20:53:50,server_5,61.92,77.87,647.59,348.04,29.32
20:53:50,server_9,89.42,93.18,895.57,1286.55,144.47
20:53:50,server_1,96.25,2.9,884.62,777.1,28.1
20:53:50,server_2,4.84,86.81,0.0,0.0,68.07
